,Keys,Values,Z,S,K
0,"('0003c653-233c-455b-a71e-d8f4a28ef8b5', 'W2', 0)",0.0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0
1,"('0003c653-233c-455b-a71e-d8f4a28ef8b5', 'W2', 1)",1.0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,1
2,"('0003c653-233c-455b-a71e-d8f4a28ef8b5', 'W2', 2)",0.0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,2
3,"('0003c653-233c-455b-a71e-d8f4a28ef8b5', 'W2', 3)",0.0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,3
4,"('0004321a-e6dc-48af-80bd-f06f376110a7', 'W2', 0)",0.0,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0
5,"('0004321a-e6dc-48af-80bd-f06f376110a7', 'W2', 1)",1.0,0004321a-e6dc-48af-80bd-f06f376110a7,W2,1
6,"('0004321a-e6dc-48af-80bd-f06f376110a7', 'W2', 2)",0.0,0004321a-e6dc-48af-80bd-f06f376110a7,W2,2
7,"('0004321a-e6dc-48af-80bd-f06f376110a7', 'W2', 3)",0.0,0004321a-e6dc-48af-80bd-f06f376110a7,W2,3
8,"('0015aa86-c214-407c-b879-d0a5f90627c6', 'W1', 0)",0.0,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0
9,"('0015aa86-c214-407c-b879-d0a5f90627c6', 'W1', 1)",1.0,0015aa86-c214-407c-b879-d0a5f90627c6,W1,1
10,"('0015aa86-c214-407c-b879-d0a5f90627c6', 'W1', 2)",0.0,0015aa86-c214-407c-b879-d0a5f90627c6,W1,2
11,"('0015aa86-c214-407c-b879-d0a5f90627c6', 'W1', 3)",0.0,0015aa86-c214-407c-b879-d0a5f90627c6,W1,3
12,"('00383daa-2b5e-4a5b-8495-cf5442692171', 'RC', 0)",1.0,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0
13,"('00383daa-2b5e-4a5b-8495-cf5442692171', 'RC', 1)",0.0,00383daa-2b5e-4a5b-8495-cf5442692171,RC,1
14,"('00383daa-2b5e-4a5b-8495-cf5442692171', 'RC', 2)",0.0,00383daa-2b5e-4a5b-8495-cf5442692171,RC,2
15,"('00383daa-2b5e-4a5b-8495-cf5442692171', 'RC', 3)",0.0,00383daa-2b5e-4a5b-8495-cf5442692171,RC,3
16,"('00430e85-d86b-4ee0-b6fc-ffe715ebf348', 'W1', 0)",1.0,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0
17,"('00430e85-d86b-4ee0-b6fc-ffe715ebf348', 'W1', 1)",0.0,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,1
18,"('00430e85-d86b-4ee0-b6fc-ffe715ebf348', 'W1', 2)",0.0,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,2
19,"('00430e85-d86b-4ee0-b6fc-ffe715ebf348', 'W1', 3)",0.0,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,3
20,"('0044af29-0512-485e-87d8-1f23568f1641', 'RC', 0)",1.0,0044af29-0512-485e-87d8-1f23568f1641,RC,0
21,"('0044af29-0512-485e-87d8-1f23568f1641', 'RC', 1)",0.0,0044af29-0512-485e-87d8-1f23568f1641,RC,1
22,"('0044af29-0512-485e-87d8-1f23568f1641', 'RC', 2)",0.0,0044af29-0512-485e-87d8-1f23568f1641,RC,2
23,"('0044af29-0512-485e-87d8-1f23568f1641', 'RC', 3)",0.0,0044af29-0512-485e-87d8-1f23568f1641,RC,3
24,"('00773410-b137-4179-b4aa-57c8513ae387', 'RC', 0)",1.0,00773410-b137-4179-b4aa-57c8513ae387,RC,0
25,"('00773410-b137-4179-b4aa-57c8513ae387', 'RC', 1)",0.0,00773410-b137-4179-b4aa-57c8513ae387,RC,1
26,"('00773410-b137-4179-b4aa-57c8513ae387', 'RC', 2)",0.0,00773410-b137-4179-b4aa-57c8513ae387,RC,2
27,"('00773410-b137-4179-b4aa-57c8513ae387', 'RC', 3)",0.0,00773410-b137-4179-b4aa-57c8513ae387,RC,3
28,"('00893cfa-e3e9-4a4d-8347-01510f3fe791', 'W1', 0)",0.0,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,0
29,"('00893cfa-e3e9-4a4d-8347-01510f3fe791', 'W1', 1)",0.0,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,1
30,"('00893cfa-e3e9-4a4d-8347-01510f3fe791', 'W1', 2)",1.0,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,2
31,"('00893cfa-e3e9-4a4d-8347-01510f3fe791', 'W1', 3)",0.0,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,3
32,"('00a27a64-e1ec-4489-93aa-8560945aadad', 'W2', 0)",1.0,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0
33,"('00a27a64-e1ec-4489-93aa-8560945aadad', 'W2', 1)",0.0,00a27a64-e1ec-4489-93aa-8560945aadad,W2,1
34,"('00a27a64-e1ec-4489-93aa-8560945aadad', 'W2', 2)",0.0,00a27a64-e1ec-4489-93aa-8560945aadad,W2,2
35,"('00a27a64-e1ec-4489-93aa-8560945aadad', 'W2', 3)",0.0,00a27a64-e1ec-4489-93aa-8560945aadad,W2,3
36,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 0)",0.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0
37,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 1)",1.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,1
38,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 2)",0.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,2
39,"('00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc', 'W2', 3)",0.0,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,3
40,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 0)",1.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0
41,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 1)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,1
42,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 2)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,2
43,"('00c99a85-ddec-4338-a36f-8301605a54e5', 'RC', 3)",0.0,00c99a85-ddec-4338-a36f-8301605a54e5,RC,3
44,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 0)",1.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0
45,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 1)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,1
46,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 2)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,2
47,"('00c9cc54-20d1-4f8c-9454-5f0f8cf23f86', 'RC', 3)",0.0,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,3
48,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 0)",0.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0
49,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 1)",1.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,1
50,"('00cf7030-9e9f-4c7f-85b8-624d5c8a079b', 'W2', 2)",0.0,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,2
