Economic_loss,Dislocation,Functionality,S
157399834,2260.854369,116.3249432,0
159223251,2211.869129,115.6748797,1
161046667.9,2198.600356,115.1555024,2
162870084.8,2188.802332,113.641279,3
164693501.7,2181.179793,113.3884857,4
166516918.7,2175.557403,114.1606189,5
168340335.6,2171.813565,116.9654524,6
170163752.5,2168.844346,119.5467403,7
171987169.4,2166.412082,121.5636181,8
173810586.4,2164.227303,122.0263404,9
175634003.3,2162.285689,124.3357712,10
177457420.2,2160.571476,125.7106073,11
179280837.1,2159.227208,128.2432992,12
181104254.1,2158.185945,131.5834234,13
182927671,2157.301956,134.3875462,14
184751087.9,2156.505651,137.5631898,15
186574504.8,2155.772315,140.3276172,16
188397921.8,2155.188044,141.7783985,17
190221338.7,2154.705366,143.1755365,18
192044755.6,2154.287778,144.9353652,19
157399834,2260.854369,116.3249432,20
159223251,2211.869129,115.6748797,21
161046667.9,2198.600356,115.1555024,22
162870084.8,2188.802332,113.641279,23
164693501.7,2181.179793,113.3884857,24
166516918.7,2175.557403,114.1606189,25
168340335.6,2171.813565,116.9654524,26
170163752.5,2168.844346,119.5467403,27
171987169.4,2166.412082,121.5636181,28
173810586.4,2164.227303,122.0263404,29
175634003.3,2162.285689,124.3357712,30
177457420.2,2160.571476,125.7106073,31
179280837.1,2159.227208,128.2432992,32
181104254.1,2158.185945,131.5834234,33
182927671,2157.301956,134.3875462,34
184751087.9,2156.505651,137.5631898,35
186574504.8,2155.772315,140.3276172,36
188397921.8,2155.188044,141.7783985,37
190221338.7,2154.705366,143.1755365,38
192044755.6,2154.287778,144.9353652,39
157399834,2260.854369,116.3249432,40
159223251,2211.869129,115.6748797,41
161046667.9,2198.600356,115.1555024,42
162870084.8,2188.802332,113.641279,43
164693501.7,2181.179793,113.3884857,44
166516918.7,2175.557403,114.1606189,45
168340335.6,2171.813565,116.9654524,46
170163752.5,2168.844346,119.5467403,47
171987169.4,2166.412082,121.5636181,48
173810586.4,2164.227303,122.0263404,49
175634003.3,2162.285689,124.3357712,50
177457420.2,2160.571476,125.7106073,51
