,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,b,Q_t_hat
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,1,0.01674326751869799
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,1,184363.0,16662.099849827053,49.12703715506134,0.0,4.0,0.4256713993605401,1.7026855974421604,0.0,0,0.0104994736386111
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,2,184363.0,23810.25018376226,78.34174871998789,0.0,4.0,0.4520948678634196,1.8083794714536785,0.0,0,0.01674326751869799
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,3,184363.0,16662.099849827053,24.56351857753067,0.0,4.0,0.4256713993605401,1.7026855974421604,0.0,0,0.00524973681930555
4,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,1,0.023831385650045094
5,0004321a-e6dc-48af-80bd-f06f376110a7,W2,1,36330.0,3446.07738815424,52.02605449524378,1.0,2.0,0.4400925583720816,0.8801851167441632,2.0,0,0.01111905417722671
6,0004321a-e6dc-48af-80bd-f06f376110a7,W2,2,36330.0,6265.503684679366,111.507053456561,1.0,2.0,0.4749696604061887,0.9499393208123774,2.0,0,0.023831385650045094
7,0004321a-e6dc-48af-80bd-f06f376110a7,W2,3,36330.0,3446.07738815424,26.01302724762189,1.0,2.0,0.4400925583720816,0.8801851167441632,2.0,0,0.005559527088613355
8,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,1,0.03162966333944532
9,0015aa86-c214-407c-b879-d0a5f90627c6,W1,1,77153.0,8366.718205202278,61.59313721289747,1.0,4.0,0.4399628293291219,1.7598513173164876,4.0,0,0.013163739519747268
10,0015aa86-c214-407c-b879-d0a5f90627c6,W1,2,77153.0,16552.989567698252,147.99519476526467,1.0,4.0,0.4963648878246038,1.9854595512984152,4.0,0,0.03162966333944532
11,0015aa86-c214-407c-b879-d0a5f90627c6,W1,3,77153.0,8366.718205202278,30.796568606448734,1.0,4.0,0.4399628293291219,1.7598513173164876,4.0,0,0.006581869759873634
12,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,67020.65731135485,201.7975808599271,0.0,0.0,0.0,0.0,0.0,1,0.0431283566702131
13,00383daa-2b5e-4a5b-8495-cf5442692171,RC,1,232071.0,49853.86553583383,135.4880833163767,0.0,0.0,0.0,0.0,0.0,0,0.028956632467701797
14,00383daa-2b5e-4a5b-8495-cf5442692171,RC,2,232071.0,67020.65451765538,201.79757104442515,0.0,0.0,0.0,0.0,0.0,0,0.043128354572435385
15,00383daa-2b5e-4a5b-8495-cf5442692171,RC,3,232071.0,49853.86551757498,67.74404162627546,0.0,0.0,0.0,0.0,0.0,0,0.014478316227030446
16,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,26927.13988578068,238.4290648184976,0.0,0.0,0.5438108411279323,0.0,0.0,1,0.050957269676960376
17,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,1,87259.0,11283.878870660545,79.85911317885875,0.0,0.0,0.4452561445987091,0.0,0.0,0,0.017067559986932837
18,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,2,87259.0,19464.74428138965,154.92961144896898,0.0,0.0,0.4991537896257084,0.0,0.0,0,0.03311169297904872
19,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,3,87259.0,9999.807753142222,32.90281109152853,0.0,0.0,0.4374775599130727,0.0,0.0,0,0.007032017758394641
20,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,90066.70693084155,203.31464189521225,0.0,0.0,0.0,0.0,0.0,1,0.043452584290492036
21,0044af29-0512-485e-87d8-1f23568f1641,RC,1,309880.0,66611.87681974687,135.60059182535574,0.0,0.0,0.0,0.0,0.0,0,0.028980677885307914
22,0044af29-0512-485e-87d8-1f23568f1641,RC,2,309880.0,89491.40746552154,201.79757104442515,0.0,0.0,0.0,0.0,0.0,0,0.043128354572435385
23,0044af29-0512-485e-87d8-1f23568f1641,RC,3,309880.0,66568.92005716413,67.74404162627546,0.0,0.0,0.0,0.0,0.0,0,0.014478316227030446
28,00773410-b137-4179-b4aa-57c8513ae387,RC,0,790937.0,151124.55772146196,125.95288772715466,1.0,0.0,0.3863115588965017,0.0,0.0,1,0.026918762070347223
29,00773410-b137-4179-b4aa-57c8513ae387,RC,1,790937.0,112349.68631913024,84.94237911726184,1.0,0.0,0.3632525456667242,0.0,0.0,0,0.018153960059256645
30,00773410-b137-4179-b4aa-57c8513ae387,RC,2,790937.0,151124.55528305797,125.9528850884493,1.0,0.0,0.3863115575525326,0.0,0.0,0,0.026918761506400792
31,00773410-b137-4179-b4aa-57c8513ae387,RC,3,790937.0,112349.68631913024,42.47118955863092,1.0,0.0,0.3632525456667242,0.0,0.0,0,0.009076980029628322
32,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,0,338227.0,56625.88426247783,109.39096188371164,0.0,2.0,0.4752493682037882,0.9504987364075764,0.0,1,0.02337913269581356
33,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,1,338227.0,36727.09067211684,61.73026395418259,0.0,2.0,0.4420823682537693,0.8841647365075386,0.0,0,0.013193046367638938
34,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,2,338227.0,55558.80494309899,106.3484618086276,0.0,2.0,0.473634449606265,0.94726889921253,0.0,0,0.022728886900753923
35,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,3,338227.0,36678.41818712106,30.796568606448734,0.0,2.0,0.4420081522993648,0.8840163045987296,0.0,0,0.006581869759873634
40,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,16305.025000618803,76.53747148783737,0.0,0.0,0.0,0.0,0.0,1,0.0163576557999225
41,00a27a64-e1ec-4489-93aa-8560945aadad,W2,1,129243.0,11680.570170532736,49.12724333140677,0.0,0.0,0.0,0.0,0.0,0,0.01049951770280119
42,00a27a64-e1ec-4489-93aa-8560945aadad,W2,2,129243.0,16212.733345764,75.8552254333074,0.0,0.0,0.0,0.0,0.0,0,0.016211845572410215
43,00a27a64-e1ec-4489-93aa-8560945aadad,W2,3,129243.0,11680.542033332056,24.56351857753067,0.0,0.0,0.0,0.0,0.0,0,0.00524973681930555
44,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,16044.55282952864,111.507053456561,1.0,2.0,0.471881321291884,0.943762642583768,2.0,1,0.023831385650045094
45,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,1,93033.0,8824.633020978625,52.02605449524378,1.0,2.0,0.4293707472671499,0.8587414945342998,2.0,0,0.01111905417722671
46,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,2,93033.0,16044.55282952864,111.507053456561,1.0,2.0,0.471881321291884,0.943762642583768,2.0,0,0.023831385650045094
47,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,3,93033.0,8824.633020978625,26.01302724762189,1.0,2.0,0.4293707472671499,0.8587414945342998,2.0,0,0.005559527088613355
48,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,8573.274068783832,207.78311791447035,0.0,0.0,0.0,0.0,0.0,1,0.04440759091995519
49,00c99a85-ddec-4338-a36f-8301605a54e5,RC,1,29976.0,4257.980341167816,84.94237911726184,0.0,0.0,0.0,0.0,0.0,0,0.018153960059256645
50,00c99a85-ddec-4338-a36f-8301605a54e5,RC,2,29976.0,8573.260649635451,207.7827166755665,0.0,0.0,0.0,0.0,0.0,0,0.04440750516682336
51,00c99a85-ddec-4338-a36f-8301605a54e5,RC,3,29976.0,4257.980341167816,42.47118955863092,0.0,0.0,0.0,0.0,0.0,0,0.009076980029628322
52,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,52217.81189621417,202.8413676431296,0.0,0.0,0.0,0.0,0.0,1,0.04335143570060474
53,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,1,180017.0,38686.970323793415,135.5576389609683,0.0,0.0,0.0,0.0,0.0,0,0.028971497961309742
54,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,2,180017.0,51987.784618951824,201.79757104442515,0.0,0.0,0.0,0.0,0.0,0,0.043128354572435385
55,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,3,180017.0,38671.54150616533,67.74404162627546,0.0,0.0,0.0,0.0,0.0,0,0.014478316227030446
56,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,0,74563.0,12859.200419508605,111.507053456561,1.0,5.0,0.4700494886715438,2.350247443357719,5.0,1,0.023831385650045094
57,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,1,74563.0,7072.663591878464,52.02605449524378,1.0,5.0,0.4202922712753649,2.1014613563768245,5.0,0,0.01111905417722671
58,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,2,74563.0,12859.200419508605,111.507053456561,1.0,5.0,0.4700494886715438,2.350247443357719,5.0,0,0.023831385650045094
59,00cf7030-9e9f-4c7f-85b8-624d5c8a079b,W2,3,74563.0,7072.663591878464,26.01302724762189,1.0,5.0,0.4202922712753649,2.1014613563768245,5.0,0,0.005559527088613355
60,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,0,54809.0,16913.43712396146,238.4290648184976,0.0,0.0,0.0,0.0,0.0,1,0.050957269676960376
61,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,1,54809.0,7087.614080175498,79.85911317885875,0.0,0.0,0.0,0.0,0.0,0,0.017067559986932837
62,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,2,54809.0,12226.167722741327,154.92961144896898,0.0,0.0,0.0,0.0,0.0,0,0.03311169297904872
63,00d27b6b-3768-457d-bbef-5c76a5265a3a,W1,3,54809.0,6281.065141039572,32.90281109152853,0.0,0.0,0.0,0.0,0.0,0,0.007032017758394641
64,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,0,73238.0,31453.379775545927,330.7769095034088,0.0,0.0,0.0,0.0,0.0,1,0.07069393235806984
65,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,1,73238.0,15743.25750137028,135.60059182535574,0.0,0.0,0.0,0.0,0.0,0,0.028980677885307914
66,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,2,73238.0,30664.582146960674,321.80370599179173,0.0,0.0,0.0,0.0,0.0,0,0.06877617140239191
67,00d8556d-9ccf-43ee-a5e2-bb96730723a4,RC,3,73238.0,15733.104966911662,67.74404162627546,0.0,0.0,0.0,0.0,0.0,0,0.014478316227030446
68,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,0,209403.0,89270.47176368588,328.2606951390207,0.0,0.0,0.0,0.0,0.0,1,0.07015616480851052
69,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,1,209403.0,45283.26282281366,136.61987165854077,0.0,0.0,0.0,0.0,0.0,0,0.029198519268762723
70,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,2,209403.0,88035.29847333023,323.3633238239552,0.0,0.0,0.0,0.0,0.0,0,0.06910949429877222
71,00dab1f9-c5d6-466b-a23b-c5efbd388b86,RC,3,209403.0,45272.995748631794,68.29003038661992,0.0,0.0,0.0,0.0,0.0,0,0.014595005425650762
72,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,0,177881.0,22973.10801482843,78.34174871998789,0.0,2.0,0.4432025334314975,0.886405066862995,0.0,1,0.01674326751869799
73,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,1,177881.0,16076.27877278568,49.12703715506134,0.0,2.0,0.4188000006887759,0.8376000013775518,0.0,0,0.0104994736386111
74,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,2,177881.0,22973.10801482843,78.34174871998789,0.0,2.0,0.4432025334314975,0.886405066862995,0.0,0,0.01674326751869799
75,00f96602-b295-48d7-bdf1-c2281c219ba7,W2,3,177881.0,16076.27877278568,24.56351857753067,0.0,2.0,0.4188000006887759,0.8376000013775518,0.0,0,0.00524973681930555
76,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0,107645.0,40413.83376182296,303.6971870581141,0.0,0.0,0.5768555873300513,0.0,0.0,1,0.0649064302325527
77,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,1,107645.0,16169.329963658569,99.81390888552691,0.0,0.0,0.4579174766869087,0.0,0.0,0,0.021332316496158778
