,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,0,0.0
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,1,55308.9
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,2,184363.0
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,29075.783639679285,99.37169632733485,0.0,4.0,0.4714629465543413,1.8858517862173652,0.0,3,239671.9
16,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,0,0.0
17,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,1,10899.0
18,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,2,36330.0
19,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,7534.822180537541,139.35490260636976,1.0,2.0,0.4904017094716205,0.980803418943241,2.0,3,47229.0
32,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,0,0.0
33,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,1,23145.899999999998
34,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,2,77153.0
35,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,35882.73224006548,387.9626959314693,1.0,4.0,0.6220643618323439,2.4882574473293757,4.0,3,100298.90000000001
48,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,0,0.0
49,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,1,69621.3
50,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,2,232071.0
51,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,90401.76171195888,289.7348537933533,0.0,0.0,0.0,0.0,0.0,3,301692.3
64,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,0,0.0
65,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,1,26177.7
66,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,2,87259.0
67,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78136.13885904015,811.3909870347007,0.0,0.0,0.850266111021262,0.0,0.0,3,113436.7
80,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,156233.56228715237,391.19575688227417,0.0,0.0,0.0,0.0,0.0,0,0.0
81,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,156233.56228715237,391.19575688227417,0.0,0.0,0.0,0.0,0.0,1,92964.0
82,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,156233.56228715237,391.19575688227417,0.0,0.0,0.0,0.0,0.0,2,309880.0
83,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,156233.56228715237,391.19575688227417,0.0,0.0,0.0,0.0,0.0,3,402844.0
96,00773410-b137-4179-b4aa-57c8513ae387,RC,0,790937.0,185881.78539236024,161.21518947018944,1.0,0.0,0.4093076385834935,0.0,0.0,0,0.0
97,00773410-b137-4179-b4aa-57c8513ae387,RC,0,790937.0,185881.78539236024,161.21518947018944,1.0,0.0,0.4093076385834935,0.0,0.0,1,237281.09999999998
