guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1968,W1,0.0,84.28200387515822
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1992,W1,0.0,58.87389277569678
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1974,W1,0.0,84.28200387515822
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1984,W1,0.0,61.7047357370527
929f1040-6224-409d-b4e3-58946daf3b91,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1964,W1,0.0,84.28200387515822
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,11578.0,2007,W1,1973.54664586296,55.16550262541375
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,67088.0,1941,W1,14393.56815830545,73.99759738263234
050589e0-041f-4ac6-83f8-420ac509cdde,0.647896415,0.2509373203,0.062626202,0.352103585,0.3969590946999999,0.1883111182999999,0.062626202,Earthquake+Tsunami,8211.0,1990,RC,1832.8912332608527,77.55067757270632
09c131b1-089b-4f1a-a14b-b705be8f5520,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1970,W1,0.0,70.49297142081087
44656106-10fc-423d-bc34-f37a947493e3,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1975,W1,0.0,84.28200387515822
0b4073d3-7d7e-439d-b9ef-1373291f37cc,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,11820.0,1992,W1,2116.93886148123,58.87389277569678
bef20397-d546-475e-8dfd-b58a422019d8,0.5450463051,0.1235260348,0.0320489943,0.4549536949,0.4215202702999999,0.0914770405,0.0320489943,Earthquake+Tsunami,0.0,2006,W1,0.0,46.190362426589374
f5e2c264-da77-4971-99d8-0c3d7562b986,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1988,W1,0.0,61.7047357370527
d8ffb229-86e0-4907-97a5-84eb9ac248e6,0.6352273005,0.2372744183,0.0586859753,0.3647726995,0.3979528821999999,0.178588443,0.0586859753,Earthquake+Tsunami,109813.0,1959,W1,23560.11358466486,73.99759738263234
0bf34a44-f8fe-41b4-a241-7c71ed06aa20,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,25411.0,1,RC,7267.651666929759,103.89135833778326
340d43a0-35ff-4738-b11b-849434a662a4,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1998,W1,0.0,55.16550262541375
defedc4a-ea47-45c6-87d5-4c374f6920e5,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1974,W1,0.0,84.28200387515822
837b8691-a385-4519-a7bc-6eed26afc2a7,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1970,W1,0.0,70.49297142081087
3ae2a39b-f04a-4654-8d64-672205c5007d,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1968,W1,0.0,70.49297142081087
ed2894f9-e44b-4ff0-acfb-b05b1367702c,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,0.0,1981,W1,0.0,50.309598860624945
b2873126-ea18-4a3b-99d8-ad908f80ef8d,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1975,W1,0.0,70.49297142081087
afa1ef2f-7bbe-41ae-95b4-3c5873a58f99,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1990,W1,0.0,61.7047357370527
113a852a-6876-4931-81f0-5158f0c70d14,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1971,W1,0.0,84.28200387515822
9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1968,W1,0.0,70.49297142081087
4ac0a784-57a8-4437-a8ec-c0fefb85012e,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1972,W1,0.0,84.28200387515822
25bc3a48-29df-4335-ac04-3e186976490c,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,716337.0,1945,RC,204875.360754534,103.89135833778326
3982d6c7-d2a6-48cf-ac99-de1dd8b42864,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1995,W1,0.0,55.16550262541375
da7413ba-bc45-46a7-9516-9bc314d5604b,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1977,W1,0.0,84.28200387515822
a436c038-22b1-4339-920b-cf430b4cf2e4,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1995,W1,0.0,55.16550262541375
22aa85a2-af0c-436c-9f60-e4ff7254ec6f,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1993,W1,0.0,58.87389277569678
919c4386-34ce-431d-ad36-ebad80c126d2,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1993,W1,0.0,61.7047357370527
c9bb8034-b154-4950-8361-252628a6dcc9,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1995,W1,0.0,55.16550262541375
1d96de99-2ee5-4756-bdba-322a6f705154,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1992,W1,0.0,58.87389277569678
7c6bc4b6-d2ae-4eee-966c-da7692f14c22,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1992,W1,0.0,61.7047357370527
6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,0.0,1992,W1,0.0,58.87389277569678
a0821314-04d0-4c93-aee7-de7b199cfafa,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,1339.0,1975,W1,320.886324044754,84.28200387515822
f1d4feff-8c78-4f78-b2a3-1092748090d1,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,248070.0,1986,W1,46233.6696223118,61.7047357370527
ff321c63-684b-4752-b9d2-6febe12aeee8,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,358766.0,0,RC,102608.5678618599,103.89135833778326
