guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
fba4c73f-9b1b-4942-b7fb-bc276a4e0a4e,0.7444154505620073,0.3581954208729926,0.1386548166487027,0.2555845494379927,0.3862200296890147,0.2195406042242899,0.1386548166487027,Earthquake+Tsunami,0.0,1968,W1,0.0,229.08531346883743,,,
65d6e370-c05b-4b2f-bd17-d914d1d056c7,0.668683548,0.2462798058,0.0535429986,0.331316452,0.4224037422,0.1927368072,0.0535429986,Earthquake+Tsunami,0.0,1992,W1,0.0,151.21423310515016,,,
dad76485-9694-409e-ac7f-c64c7bd5c32c,0.7444154505620073,0.3581954208729926,0.1386548166487027,0.2555845494379927,0.3862200296890147,0.2195406042242899,0.1386548166487027,Earthquake+Tsunami,0.0,1974,W1,0.0,229.08531346883743,0.0,2.0,0.4948305599970843
6f57cfb6-d244-40d5-96f5-03aeddd5e30a,0.6837056607650243,0.2804539908795517,0.0964560013091971,0.3162943392349757,0.4032516698854725,0.1839979895703546,0.0964560013091971,Earthquake+Tsunami,0.0,1984,W1,0.0,181.3500354301289,1.0,2.0,0.4869411581361727
929f1040-6224-409d-b4e3-58946daf3b91,0.7334247238352948,0.330596339642736,0.1016149816962344,0.2665752761647052,0.4028283841925588,0.2289813579465016,0.1016149816962344,Earthquake+Tsunami,0.0,1964,W1,0.0,203.8523487672188,0.0,4.0,0.5003353401305815
9020fc6c-4b0e-4e5b-b8be-fa58141b57b5,0.6904609554,0.2157928025,0.062520047,0.3095390446,0.4746681529,0.1532727555,0.062520047,Earthquake+Tsunami,11578.0,2007,W1,2497.250909302554,145.98066479213583,0.0,1.0,0.5181792350025232
3dcc3d59-dddf-4bc7-88cf-eacfe0b76ef0,0.9996121262412936,0.999087114378162,0.998811817656199,0.0003878737587065,0.0005250118631315,0.0002752967219629,0.998811817656199,Earthquake+Tsunami,67088.0,1941,W1,60323.2060269269,815.0457050608039,,,
050589e0-041f-4ac6-83f8-420ac509cdde,0.7217077863415413,0.3332102474367122,0.0951023326017793,0.2782922136584587,0.3884975389048291,0.2381079148349328,0.0951023326017793,Earthquake+Tsunami,8211.0,1990,RC,2283.972023567806,201.2942218094044,,,
09c131b1-089b-4f1a-a14b-b705be8f5520,0.9058170164394456,0.7783343431095646,0.7114871639517015,0.0941829835605544,0.1274826733298809,0.066847179157863,0.7114871639517015,Earthquake+Tsunami,0.0,1970,W1,0.0,616.4687862816362,1.0,3.0,0.6515129710649938
44656106-10fc-423d-bc34-f37a947493e3,0.7444154505620073,0.3581954208729926,0.1386548166487027,0.2555845494379927,0.3862200296890147,0.2195406042242899,0.1386548166487027,Earthquake+Tsunami,0.0,1975,W1,0.0,229.08531346883743,0.0,1.0,0.5177036188520479
0b4073d3-7d7e-439d-b9ef-1373291f37cc,0.668683548,0.2462798058,0.0535429986,0.331316452,0.4224037422,0.1927368072,0.0535429986,Earthquake+Tsunami,11820.0,1992,W1,2616.0391011118204,151.21423310515016,0.0,4.0,0.476001383292217
bef20397-d546-475e-8dfd-b58a422019d8,0.6337825074,0.1745036479,0.0482209923,0.3662174926,0.4592788594999999,0.1262826556,0.0482209923,Earthquake+Tsunami,0.0,2006,W1,0.0,122.29018648363449,0.0,2.0,0.4607159622307563
