,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,b,Q_t_hat
0,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,0,184363.0,49842.73298140953,189.5641196838804,0.0,4.0,0.5457494427089475,2.18299777083579,1,0.04051381057573849
1,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,1,184363.0,37709.20966760335,131.08088908047034,0.0,4.0,0.5043602058779759,2.0174408235119037,0,0.028014723034937024
2,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,2,184363.0,49842.73298140953,189.5641196838804,0.0,4.0,0.5457494427089475,2.18299777083579,0,0.04051381057573849
3,0003c653-233c-455b-a71e-d8f4a28ef8b5,W2,3,184363.0,49842.73298140953,94.7820598419402,0.0,4.0,0.5457494427089475,2.18299777083579,0,0.020256905287869244
4,0004321a-e6dc-48af-80bd-f06f376110a7,W2,0,36330.0,32658.326184287835,814.795508491784,1.0,2.0,0.8337631152928183,1.6675262305856366,1,0.1741388135267758
5,0004321a-e6dc-48af-80bd-f06f376110a7,W2,1,36330.0,32649.45047746848,814.5766813485311,1.0,2.0,0.8336524398746723,1.6673048797493446,0,0.17409204559703592
6,0004321a-e6dc-48af-80bd-f06f376110a7,W2,2,36330.0,12261.775456816304,249.75144606813183,1.0,2.0,0.5479764006806419,1.0959528013612838,0,0.05337709896732888
7,0004321a-e6dc-48af-80bd-f06f376110a7,W2,3,36330.0,32658.326184287835,407.397754245892,1.0,2.0,0.8337631152928183,1.6675262305856366,0,0.0870694067633879
8,0015aa86-c214-407c-b879-d0a5f90627c6,W1,0,77153.0,69423.7532267576,815.6760761628108,1.0,4.0,0.8371338613637871,3.3485354454551484,1,0.1743270092247939
9,0015aa86-c214-407c-b879-d0a5f90627c6,W1,1,77153.0,69417.82632956396,815.5964249322515,1.0,4.0,0.83709740402682,3.34838961610728,0,0.1743099860936635
10,0015aa86-c214-407c-b879-d0a5f90627c6,W1,2,77153.0,47526.00297862132,516.0862969155197,1.0,4.0,0.6997413649346569,2.7989654597386275,0,0.11029841780626623
11,0015aa86-c214-407c-b879-d0a5f90627c6,W1,3,77153.0,69423.7532267576,407.8380380814054,1.0,4.0,0.8371338613637871,3.3485354454551484,0,0.08716350461239696
12,00383daa-2b5e-4a5b-8495-cf5442692171,RC,0,232071.0,153624.06399008608,548.7260166532868,0.0,0.0,0.0,0.0,1,0.11727420744887515
13,00383daa-2b5e-4a5b-8495-cf5442692171,RC,1,232071.0,140733.57357793231,488.7968298005844,0.0,0.0,0.0,0.0,0,0.10446608886526702
14,00383daa-2b5e-4a5b-8495-cf5442692171,RC,2,232071.0,128632.76296070812,444.7107672747661,0.0,0.0,0.0,0.0,0,0.09504397676314728
15,00383daa-2b5e-4a5b-8495-cf5442692171,RC,3,232071.0,153624.06399008608,274.3630083266434,0.0,0.0,0.0,0.0,0,0.058637103724437575
16,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,0,87259.0,78533.08066025744,815.866652259343,0.0,0.0,0.852635155214965,0.0,1,0.17436773931595279
17,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,1,87259.0,78533.07244153444,815.8665546003987,0.0,0.0,0.8526351060883236,0.0,0,0.17436771844419718
18,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,2,87259.0,53751.26688413305,516.0862969155197,0.0,0.0,0.7127453719814337,0.0,0,0.11029841780626623
19,00430e85-d86b-4ee0-b6fc-ffe715ebf348,W1,3,87259.0,78533.08066025744,407.9333261296715,0.0,0.0,0.852635155214965,0.0,0,0.08718386965797639
20,0044af29-0512-485e-87d8-1f23568f1641,RC,0,309880.0,251455.9594771453,713.8842187633743,0.0,0.0,0.0,0.0,1,0.15257196383059934
21,0044af29-0512-485e-87d8-1f23568f1641,RC,1,309880.0,244164.8228315648,686.9810706120813,0.0,0.0,0.0,0.0,0,0.1468221993186752
22,0044af29-0512-485e-87d8-1f23568f1641,RC,2,309880.0,174174.1093973075,452.333322254278,0.0,0.0,0.0,0.0,0,0.0966730759252571
23,0044af29-0512-485e-87d8-1f23568f1641,RC,3,309880.0,251455.9594771453,356.94210938168715,0.0,0.0,0.0,0.0,0,0.07628598191529967
24,004a85d6-030b-48d4-9f37-d1973e20ce24,W1,0,0.0,0.0,814.782307906771,1.0,2.0,0.8411865730279412,1.6823731460558824,1,0.17413599228612334
25,004a85d6-030b-48d4-9f37-d1973e20ce24,W1,1,0.0,0.0,814.3253439893388,1.0,2.0,0.8409593370637873,1.6819186741275747,0,0.17403832955531925
26,004a85d6-030b-48d4-9f37-d1973e20ce24,W1,2,0.0,0.0,520.4933273591503,1.0,2.0,0.7024699215697512,1.4049398431395024,0,0.1112402922332016
27,004a85d6-030b-48d4-9f37-d1973e20ce24,W1,3,0.0,0.0,407.3911539533855,1.0,2.0,0.8411865730279412,1.6823731460558824,0,0.08706799614306167
28,00773410-b137-4179-b4aa-57c8513ae387,RC,0,790937.0,515287.3083184308,556.9924021762133,1.0,0.0,0.6170790860368103,0.0,1,0.11904090664163568
29,00773410-b137-4179-b4aa-57c8513ae387,RC,1,790937.0,484593.5761828982,518.2270456848444,1.0,0.0,0.5981660837387563,0.0,0,0.11075594051823988
30,00773410-b137-4179-b4aa-57c8513ae387,RC,2,790937.0,295126.19443396,279.1136589600531,1.0,0.0,0.477526462819046,0.0,0,0.05965241696090043
31,00773410-b137-4179-b4aa-57c8513ae387,RC,3,790937.0,515287.3083184308,278.49620108810666,1.0,0.0,0.6170790860368103,0.0,0,0.05952045332081784
32,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,0,338227.0,304403.8112342909,815.8653683241095,0.0,2.0,0.8502366985452717,1.7004733970905435,1,0.1743674649121841
33,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,1,338227.0,304403.7182245392,815.8650801698325,0.0,2.0,0.8502365624343197,1.7004731248686393,0,0.1743674033275983
34,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,2,338227.0,189408.7210688704,458.7429171906272,0.0,2.0,0.6856649850618329,1.3713299701236659,0,0.09804294019889447
35,00893cfa-e3e9-4a4d-8347-01510f3fe791,W1,3,338227.0,304403.8112342909,407.9326841620547,0.0,2.0,0.8502366985452717,1.7004733970905435,0,0.08718373245609205
36,00933c34-8cac-49ee-a2c4-88ce42717bd8,W1,0,0.0,0.0,463.5325739152804,0.0,0.0,0.0,0.0,1,0.09906658985152392
37,00933c34-8cac-49ee-a2c4-88ce42717bd8,W1,1,0.0,0.0,396.0439829547124,0.0,0.0,0.0,0.0,0,0.08464286876570046
38,00933c34-8cac-49ee-a2c4-88ce42717bd8,W1,2,0.0,0.0,463.5325739152804,0.0,0.0,0.0,0.0,0,0.09906658985152392
39,00933c34-8cac-49ee-a2c4-88ce42717bd8,W1,3,0.0,0.0,231.7662869576402,0.0,0.0,0.0,0.0,0,0.04953329492576196
40,00a27a64-e1ec-4489-93aa-8560945aadad,W2,0,129243.0,106783.48693645048,742.5428509841464,0.0,0.0,0.0,0.0,1,0.158696911943609
41,00a27a64-e1ec-4489-93aa-8560945aadad,W2,1,129243.0,105741.39483364932,735.2827844018876,0.0,0.0,0.0,0.0,0,0.157145284120942
42,00a27a64-e1ec-4489-93aa-8560945aadad,W2,2,129243.0,35290.55376281346,192.77534024777168,0.0,0.0,0.0,0.0,0,0.041200115462229465
43,00a27a64-e1ec-4489-93aa-8560945aadad,W2,3,129243.0,106783.48693645048,371.2714254920732,0.0,0.0,0.0,0.0,0,0.0793484559718045
44,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,0,93033.0,83432.87699686724,812.6558033457258,1.0,2.0,0.8319733438483179,1.6639466876966358,1,0.1736815138588856
45,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,1,93033.0,83364.7556102253,811.9999449320081,1.0,2.0,0.8316107294380504,1.6632214588761007,0,0.17354134322120285
46,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,2,93033.0,31399.662980291527,249.75144606813183,1.0,2.0,0.5563109890836693,1.1126219781673385,0,0.05337709896732888
47,00a3bf08-2c22-45ed-9bd9-53e0ae68b6bc,W2,3,93033.0,83432.87699686724,406.3279016728629,1.0,2.0,0.8319733438483179,1.6639466876966358,0,0.0868407569294428
48,00c99a85-ddec-4338-a36f-8301605a54e5,RC,0,29976.0,26276.40532180763,790.4638240796563,0.0,0.0,0.0,0.0,1,0.16893862450943714
49,00c99a85-ddec-4338-a36f-8301605a54e5,RC,1,29976.0,25853.710376139406,775.5523347414326,0.0,0.0,0.0,0.0,0,0.16575172787805784
50,00c99a85-ddec-4338-a36f-8301605a54e5,RC,2,29976.0,14851.856376700322,396.1891166347002,0.0,0.0,0.0,0.0,0,0.084673886863582
51,00c99a85-ddec-4338-a36f-8301605a54e5,RC,3,29976.0,26276.40532180763,395.23191203982816,0.0,0.0,0.0,0.0,0,0.08446931225471857
52,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,0,180017.0,146449.9717405129,716.2491694642754,0.0,0.0,0.0,0.0,1,0.15307740317680602
53,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,1,180017.0,142297.9960715764,689.8648328916005,0.0,0.0,0.0,0.0,0,0.14743851953229334
54,00c9cc54-20d1-4f8c-9454-5f0f8cf23f86,RC,2,180017.0,101182.07258091876,452.333322254278,0.0,0.0,0.0,0.0,0,0.0966730759252571
