"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"00919ec2-5c9d-4269-8ddb-e8d2a0d960d4","0.713204261","0.4550132434","0.3272728201","0.1674274293","0.286795739","0.2581910176","0.1277404233","0.1598453908","0.1674274293","yes"
"efd6e76c-cf38-4265-be16-b5c6b53843b2","0.5331934711","0.3864414552","0.2767661939","0.1204006279","0.4668065289","0.1467520159","0.1096752613","0.1563655660","0.1204006279","yes"
"5f1a56e1-07ec-4e4d-a6a4-ee5146f4da56","0.5331934711","0.3864414552","0.2767661939","0.1204006279","0.4668065289","0.1467520159","0.1096752613","0.1563655660","0.1204006279","yes"
"dd9fa667-58a2-43ec-8268-01e4ad6632ab","0.978405863","0.9280056637","0.8513498281","0.6201414277","0.021594137","0.0504001993","0.0766558356","0.2312084004","0.6201414277","yes"
"56ca7139-3291-4e25-8db0-e2168d2daa62","0.5331934711","0.3864414552","0.2767661939","0.1204006279","0.4668065289","0.1467520159","0.1096752613","0.1563655660","0.1204006279","yes"
"9e942576-df8a-4159-98f3-239d3aac7111","0.978405863","0.9280056637","0.8513498281","0.6201414277","0.021594137","0.0504001993","0.0766558356","0.2312084004","0.6201414277","yes"
"cbfa269a-6c48-43a3-8ba8-cbb3a1f23e88","0.9640393012","0.8922954502","0.7938836507","0.5333059986","0.0359606988","0.0717438510","0.0984117995","0.2605776521","0.5333059986","yes"
"b85a28bc-be9b-4c81-a334-4940d1aeb59f","0.713204261","0.4550132434","0.3272728201","0.1674274293","0.286795739","0.2581910176","0.1277404233","0.1598453908","0.1674274293","yes"
"76b98763-559b-4ef2-ab6e-c86764855aa0","0.7403322453","0.4447371865","0.2515163762","0.0814693755","0.2596677547","0.2955950588","0.1932208103","0.1700470007","0.0814693755","yes"
"0497d962-7588-41b5-a898-f733549af36a","0.7422485882","0.4470784439","0.2534084069","0.0823658357","0.2577514118","0.2951701443","0.1936700370","0.1710425712","0.0823658357","yes"
"d134f967-6c74-4100-98bd-5c7c79e71290","0.806930166","0.5331934711","0.3272728201","0.1204006279","0.193069834","0.2737366949","0.2059206510","0.2068721922","0.1204006279","yes"
"62a42c32-7d4a-47be-ab2e-6ed169b72048","0.806930166","0.5331934711","0.3272728201","0.1204006279","0.193069834","0.2737366949","0.2059206510","0.2068721922","0.1204006279","yes"
"4d0cc9d0-7ec5-449f-a2f9-797ae8e599de","0.4672667697","0.3248970531","0.2242501861","0.090378371","0.5327332303","0.1423697166","0.1006468670","0.1338718151","0.090378371","yes"
