"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"00919ec2-5c9d-4269-8ddb-e8d2a0d960d4","0.7621016991","0.2433415768","0.016032425","0.0009235212","0.2378983009","0.5187601223","0.2273091518","0.0151089038","0.0009235212","yes"
"efd6e76c-cf38-4265-be16-b5c6b53843b2","0.3818661219","0.0437017028","0.0007962854","1.83406e-05","0.6181338781","0.3381644191","0.0429054174","0.0007779448","0.0000183406","yes"
"5f1a56e1-07ec-4e4d-a6a4-ee5146f4da56","0.0210034754","0.0002885821","5.038e-07","2.3e-09","0.9789965246","0.0207148933","0.0002880783","5.015E-7","2.3E-9","yes"
"dd9fa667-58a2-43ec-8268-01e4ad6632ab","0.9970997895","0.9115211827","0.4610354776","0.142758273","0.0029002105","0.0855786068","0.4504857051","0.3182772046","0.142758273","yes"
"56ca7139-3291-4e25-8db0-e2168d2daa62","0.9854653753","0.7804969779","0.2501128876","0.0500552703","0.0145346247","0.2049683974","0.5303840903","0.2000576173","0.0500552703","yes"
"9e942576-df8a-4159-98f3-239d3aac7111","0.9816098845","0.7515963491","0.221099399","0.041046508","0.0183901155","0.2300135354","0.5304969501","0.180052891","0.041046508","yes"
"cbfa269a-6c48-43a3-8ba8-cbb3a1f23e88","0.0004656219","1.1839e-06","3e-10","0.0","0.9995343781","0.0004644380","0.0000011836","3E-10","0.0","yes"
"b85a28bc-be9b-4c81-a334-4940d1aeb59f","0.3818661219","0.0437017028","0.0007962854","1.83406e-05","0.6181338781","0.3381644191","0.0429054174","0.0007779448","0.0000183406","yes"
"76b98763-559b-4ef2-ab6e-c86764855aa0","0.0210034754","0.0002885821","5.038e-07","2.3e-09","0.9789965246","0.0207148933","0.0002880783","5.015E-7","2.3E-9","yes"
"0497d962-7588-41b5-a898-f733549af36a","0.7621016991","0.2433415768","0.016032425","0.0009235212","0.2378983009","0.5187601223","0.2273091518","0.0151089038","0.0009235212","yes"
"d134f967-6c74-4100-98bd-5c7c79e71290","0.9985122065","0.9408059707","0.5452098937","0.1958287472","0.0014877935","0.0577062358","0.3955960770","0.3493811465","0.1958287472","yes"
"62a42c32-7d4a-47be-ab2e-6ed169b72048","0.9992249917","0.9604966882","0.6211383512","0.2540780544","0.0007750083","0.0387283035","0.3393583370","0.3670602968","0.2540780544","yes"
"4d0cc9d0-7ec5-449f-a2f9-797ae8e599de","0.4751588476","0.0706480978","0.0017558458","5.02934e-05","0.5248411524","0.4045107498","0.0688922520","0.0017055524","0.0000502934","yes"
