"guid","failure"
"00919ec2-5c9d-4269-8ddb-e8d2a0d960d4","0,0,0,0,0,0,0,0,0,0"
"efd6e76c-cf38-4265-be16-b5c6b53843b2","0,0,1,0,0,1,0,1,1,0"
"5f1a56e1-07ec-4e4d-a6a4-ee5146f4da56","0,0,1,1,0,0,0,1,0,1"
"dd9fa667-58a2-43ec-8268-01e4ad6632ab","0,0,0,0,0,0,0,0,0,0"
"56ca7139-3291-4e25-8db0-e2168d2daa62","0,0,0,0,0,0,0,0,0,0"
"9e942576-df8a-4159-98f3-239d3aac7111","0,0,0,0,0,0,0,0,0,0"
"cbfa269a-6c48-43a3-8ba8-cbb3a1f23e88","0,0,0,0,0,0,0,0,0,1"
"b85a28bc-be9b-4c81-a334-4940d1aeb59f","0,0,0,0,0,0,0,0,0,0"
"76b98763-559b-4ef2-ab6e-c86764855aa0","1,1,0,1,1,0,1,0,1,0"
"0497d962-7588-41b5-a898-f733549af36a","0,0,0,0,0,0,1,0,0,0"
"d134f967-6c74-4100-98bd-5c7c79e71290","0,0,0,0,0,0,0,0,0,0"
"62a42c32-7d4a-47be-ab2e-6ed169b72048","0,0,0,0,0,0,0,0,0,0"
"4d0cc9d0-7ec5-449f-a2f9-797ae8e599de","1,0,1,1,0,0,0,0,1,1"
