"guid","sample_damage_states"
"00919ec2-5c9d-4269-8ddb-e8d2a0d960d4","DS_1,DS_2,DS_2,DS_2,DS_1,DS_1,DS_4,DS_4,DS_1,DS_2"
"efd6e76c-cf38-4265-be16-b5c6b53843b2","DS_2,DS_1,DS_0,DS_4,DS_2,DS_3,DS_0,DS_1,DS_4,DS_3"
"5f1a56e1-07ec-4e4d-a6a4-ee5146f4da56","DS_2,DS_0,DS_0,DS_4,DS_1,DS_0,DS_0,DS_0,DS_1,DS_1"
"dd9fa667-58a2-43ec-8268-01e4ad6632ab","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"56ca7139-3291-4e25-8db0-e2168d2daa62","DS_2,DS_2,DS_4,DS_2,DS_3,DS_3,DS_2,DS_2,DS_3,DS_4"
"9e942576-df8a-4159-98f3-239d3aac7111","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_3,DS_4,DS_4"
"cbfa269a-6c48-43a3-8ba8-cbb3a1f23e88","DS_3,DS_1,DS_4,DS_3,DS_2,DS_4,DS_3,DS_3,DS_4,DS_4"
"b85a28bc-be9b-4c81-a334-4940d1aeb59f","DS_0,DS_2,DS_1,DS_1,DS_3,DS_1,DS_2,DS_2,DS_4,DS_0"
"76b98763-559b-4ef2-ab6e-c86764855aa0","DS_2,DS_0,DS_0,DS_0,DS_3,DS_3,DS_0,DS_1,DS_1,DS_4"
"0497d962-7588-41b5-a898-f733549af36a","DS_1,DS_3,DS_2,DS_1,DS_2,DS_1,DS_0,DS_2,DS_4,DS_2"
"d134f967-6c74-4100-98bd-5c7c79e71290","DS_2,DS_4,DS_4,DS_4,DS_2,DS_3,DS_2,DS_4,DS_3,DS_4"
"62a42c32-7d4a-47be-ab2e-6ed169b72048","DS_4,DS_4,DS_2,DS_4,DS_3,DS_2,DS_2,DS_4,DS_4,DS_4"
"4d0cc9d0-7ec5-449f-a2f9-797ae8e599de","DS_0,DS_2,DS_4,DS_2,DS_2,DS_0,DS_0,DS_3,DS_4,DS_1"
