"guid","failure"
"c34c4207-d1e8-47d1-b29e-1ba11d951bce","0,0,0,0,0,0,0,0,0,0"
"402388b9-f14c-4402-9ad9-8b0965de0937","1,1,1,1,1,1,1,1,1,1"
"1d244334-1aef-4ced-b5f5-6f886a9d0db6","0,0,0,0,0,0,0,0,0,0"
"5a051ea9-a0b3-45ee-a283-82512e7b7cb6","0,0,0,0,0,0,0,0,0,0"
"51a54596-597b-46f9-8c8b-bc58f1105853","0,0,0,0,0,0,0,0,0,0"
"5259ef1f-de9b-4e9e-9cdc-92db831ba1db","0,0,0,0,0,0,0,0,0,0"
"86868c5c-e7cc-4a04-9304-283d7ddae6c8","0,0,0,0,0,0,0,0,0,0"
"c564f93d-02b9-4ebb-b88b-b89baf7b2286","0,0,0,0,0,0,0,0,0,0"
"dfe4c048-b4a4-43b2-88ed-59693417470f","0,0,0,0,0,0,0,0,0,0"
"9f87abfd-23fb-4734-97f5-d1213c7a38c2","0,0,0,0,0,0,0,0,0,0"
"26ac997a-efa0-406b-86a7-c20575b17528","0,0,0,0,0,0,0,0,0,0"
"c1562af7-eb87-4c90-9251-ace5a53540aa","0,0,0,0,0,0,0,0,0,0"
"67d05d7b-5f8c-4752-9e42-19a6fe6d6dee","0,0,0,0,0,0,0,0,0,0"
"00bfec18-7b78-46b8-9899-d48104107c72","0,0,0,0,0,0,0,0,0,0"
"9b38bb0c-a2e9-4068-90e8-4bf0479b3a9e","0,0,0,0,0,0,0,0,0,0"
"d2dd8cb5-bf01-4539-9b3c-d9b7e17b4ffb","0,0,0,0,0,0,0,0,0,0"
"b5d4e890-3b47-485e-92cb-b6d345466a16","1,1,1,1,1,1,1,1,1,1"
"a07d1e47-2f22-46bd-93d1-a7ee8a5d9e62","1,1,1,1,1,1,1,1,1,1"
"4b89c33a-a92a-4f63-9be3-ca822e71125b","1,1,1,1,1,1,1,1,1,1"
"88f86b5b-4b9a-4984-abd1-a0f46c66b74e","0,0,0,0,0,0,0,0,0,0"
"fea2341d-299c-4a73-a38a-e0d9c55ee522","0,0,0,0,0,0,0,0,0,0"
