"guid","sample_damage_states"
"c34c4207-d1e8-47d1-b29e-1ba11d951bce","DS_3,DS_3,DS_4,DS_3,DS_4,DS_3,DS_3,DS_4,DS_4,DS_3"
"402388b9-f14c-4402-9ad9-8b0965de0937","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"1d244334-1aef-4ced-b5f5-6f886a9d0db6","DS_2,DS_3,DS_3,DS_2,DS_2,DS_3,DS_3,DS_3,DS_2,DS_2"
"5a051ea9-a0b3-45ee-a283-82512e7b7cb6","DS_2,DS_3,DS_3,DS_2,DS_3,DS_2,DS_3,DS_3,DS_3,DS_2"
"51a54596-597b-46f9-8c8b-bc58f1105853","DS_3,DS_3,DS_3,DS_3,DS_3,DS_3,DS_3,DS_2,DS_3,DS_2"
"5259ef1f-de9b-4e9e-9cdc-92db831ba1db","DS_2,DS_3,DS_2,DS_3,DS_3,DS_3,DS_3,DS_2,DS_3,DS_2"
"86868c5c-e7cc-4a04-9304-283d7ddae6c8","DS_2,DS_3,DS_3,DS_2,DS_2,DS_3,DS_2,DS_2,DS_2,DS_3"
"c564f93d-02b9-4ebb-b88b-b89baf7b2286","DS_3,DS_2,DS_3,DS_3,DS_2,DS_2,DS_3,DS_2,DS_3,DS_2"
"dfe4c048-b4a4-43b2-88ed-59693417470f","DS_3,DS_3,DS_2,DS_2,DS_3,DS_2,DS_2,DS_2,DS_3,DS_2"
"9f87abfd-23fb-4734-97f5-d1213c7a38c2","DS_2,DS_2,DS_2,DS_1,DS_2,DS_3,DS_3,DS_3,DS_2,DS_2"
"26ac997a-efa0-406b-86a7-c20575b17528","DS_3,DS_3,DS_2,DS_3,DS_2,DS_3,DS_3,DS_3,DS_2,DS_3"
"c1562af7-eb87-4c90-9251-ace5a53540aa","DS_3,DS_2,DS_3,DS_2,DS_3,DS_3,DS_3,DS_3,DS_3,DS_2"
"67d05d7b-5f8c-4752-9e42-19a6fe6d6dee","DS_2,DS_2,DS_3,DS_2,DS_2,DS_2,DS_2,DS_3,DS_3,DS_3"
"00bfec18-7b78-46b8-9899-d48104107c72","DS_3,DS_2,DS_3,DS_2,DS_3,DS_2,DS_3,DS_2,DS_3,DS_2"
"9b38bb0c-a2e9-4068-90e8-4bf0479b3a9e","DS_3,DS_2,DS_3,DS_3,DS_3,DS_3,DS_2,DS_2,DS_2,DS_3"
"d2dd8cb5-bf01-4539-9b3c-d9b7e17b4ffb","DS_3,DS_2,DS_3,DS_3,DS_3,DS_2,DS_2,DS_2,DS_3,DS_2"
"b5d4e890-3b47-485e-92cb-b6d345466a16","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a07d1e47-2f22-46bd-93d1-a7ee8a5d9e62","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4b89c33a-a92a-4f63-9be3-ca822e71125b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"88f86b5b-4b9a-4984-abd1-a0f46c66b74e","DS_3,DS_2,DS_2,DS_3,DS_2,DS_2,DS_3,DS_3,DS_3,DS_3"
"fea2341d-299c-4a73-a38a-e0d9c55ee522","DS_2,DS_2,DS_3,DS_3,DS_3,DS_2,DS_2,DS_3,DS_2,DS_3"
"b0dfca73-57a1-4843-b0f3-1d529bb841cb","DS_2,DS_2,DS_2,DS_2,DS_3,DS_3,DS_3,DS_3,DS_3,DS_3"
"01ce4ff5-0c95-4629-9df7-8454af9e81e8","DS_3,DS_3,DS_3,DS_3,DS_2,DS_3,DS_3,DS_3,DS_3,DS_2"
"341199cd-d3e3-4bad-9aef-5afa32e1d50a","DS_3,DS_3,DS_3,DS_2,DS_3,DS_2,DS_3,DS_2,DS_3,DS_3"
"3e6dde4f-7e2a-4259-8a08-aa5a7469bd70","DS_4,DS_3,DS_4,DS_3,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"591f8aab-5a64-46cd-8235-29866d6aabe9","DS_3,DS_3,DS_3,DS_3,DS_2,DS_3,DS_2,DS_3,DS_3,DS_3"
"fa6dd154-65f6-4e5c-a03c-cb5b8deca3b9","DS_4,DS_3,DS_4,DS_4,DS_4,DS_4,DS_3,DS_4,DS_3,DS_4"
"66e9010b-b26b-463d-9320-074d866d0f76","DS_3,DS_3,DS_3,DS_3,DS_2,DS_3,DS_3,DS_2,DS_3,DS_3"
"12f97fc8-b7b5-4a83-b2ea-ea81bde3f6e9","DS_3,DS_4,DS_3,DS_3,DS_3,DS_3,DS_3,DS_4,DS_3,DS_4"
"584f8368-c4ac-42bd-a39a-230517a5e13e","DS_3,DS_3,DS_3,DS_2,DS_4,DS_3,DS_3,DS_3,DS_4,DS_4"
"3b636a87-94c9-46a6-b656-d9d29af97342","DS_3,DS_2,DS_2,DS_4,DS_3,DS_3,DS_3,DS_3,DS_3,DS_3"
