"guid","sample_damage_states"
"495e874c-b88a-43a1-852f-c83b120acb3f","DS_1,DS_4,DS_4,DS_4,DS_4,DS_4,DS_1,DS_4,DS_4,DS_4"
"67c726e3-029f-4b67-a0e1-681ed9b8709b","DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_4,DS_4"
"382f321e-e701-4a03-97f8-466c612ebbc2","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4"
"77bad106-02c7-48da-9d4a-81c6502f81f3","DS_4,DS_4,DS_4,DS_4,DS_2,DS_2,DS_4,DS_2,DS_4,DS_4"
"81826eda-87be-4aa3-84e3-10650d2af766","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"b1a7a887-8d7b-4e1d-b188-e2cbdd8ca338","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_4"
"9475c9c2-fa1d-4ec7-a1d4-d03750f1b615","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_2"
"40d5dbe0-e450-4d4a-b249-75964eb7b092","DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_4,DS_2"
"4b13d1e2-99df-4b02-b805-0a4bb7eb58ff","DS_4,DS_4,DS_2,DS_4,DS_2,DS_2,DS_4,DS_2,DS_4,DS_4"
"7c3b25cb-06f8-4177-a11f-5d54850c7aa4","DS_4,DS_2,DS_2,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4"
"ff2e6662-cbbd-4e53-b922-564a5df5f08d","DS_4,DS_4,DS_2,DS_4,DS_2,DS_4,DS_4,DS_4,DS_2,DS_4"
"510c968d-d5f6-4405-93de-45087618b1ad","DS_4,DS_2,DS_2,DS_4,DS_4,DS_4,DS_4,DS_4,DS_1,DS_4"
"acd9e97f-2d1d-4a49-b4b6-70f7cfebdb13","DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_2,DS_4,DS_4,DS_4"
"f11996fe-759e-40c2-8127-2b2d6137640a","DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_2,DS_4,DS_4,DS_2"
"47ccf4e8-98c7-4c59-8f33-c8346cb10f8b","DS_4,DS_4,DS_4,DS_2,DS_2,DS_4,DS_4,DS_4,DS_4,DS_4"
"68928761-9515-444b-90dd-e4f01e534fa3","DS_2,DS_2,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"8f8dfe28-e30b-4674-ac25-e883805ae1d2","DS_2,DS_2,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_4"
"7abe0461-e7a1-4cae-9f57-6139e3755a81","DS_4,DS_4,DS_2,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"e676abe6-6ce6-4838-ad95-dde06ff160b4","DS_4,DS_4,DS_4,DS_4,DS_4,DS_2,DS_4,DS_4,DS_4,DS_4"
"1263505a-a406-40a9-aab9-668391b407a2","DS_4,DS_4,DS_3,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4"
"7469cf09-2b51-4e05-83a7-1499b0bf79d3","DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_4,DS_3,DS_4"
