"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose"
"38f200bf-3c64-4994-b4de-36044ae64c00","0.5024692805","0.0453503792","0.0054180785","0.0007751784","0.4975307195","0.4571189013","0.0399323007","0.0046429001","0.0007751784","yes"
"0434090a-1a3f-409d-ad48-24d6f5af68f6","0.000593433","3.908e-07","3.4e-09","1e-10","0.999406567","0.0005930422","3.874E-7","3.3E-9","1E-10","yes"
"972cd313-3101-43ac-b917-c6c6fd7987b0","0.8920271098","0.322570919","0.0939616516","0.0265628588","0.1079728902","0.5694561908","0.2286092674","0.0673987928","0.0265628588","yes"
"8b868727-d59c-4e2a-84ba-c73eea4f8363","0.9992387374","0.9295507322","0.7311277863","0.4996318699","0.0007612626","0.0696880052","0.1984229459","0.2314959164","0.4996318699","yes"
"b04bf9c5-f788-4520-b3db-c2979415a326","0.9970448811","0.8542456902","0.5787090911","0.3377695678","0.0029551189","0.1427991909","0.2755365991","0.2409395233","0.3377695678","yes"
"f5b7fcda-06f2-4b46-846f-cccb8d9a02e0","0.998133124","0.8853025785","0.6352134301","0.3930198652","0.001866876","0.1128305455","0.2500891484","0.2421935649","0.3930198652","yes"
"3197d21d-2029-42de-a768-5ff2c66e6a88","0.8920271098","0.322570919","0.0939616516","0.0265628588","0.1079728902","0.5694561908","0.2286092674","0.0673987928","0.0265628588","yes"
"8bc34bd7-d6cf-4c62-83e3-f70e978bdb1e","0.998133124","0.8853025785","0.6352134301","0.3930198652","0.001866876","0.1128305455","0.2500891484","0.2421935649","0.3930198652","yes"
"d3bae336-a487-4e57-a2da-68c360584c26","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","no"
"01e8b883-da02-4d67-8d6d-e49a7a9a033f","0.8271399101","0.2251307517","0.0535675346","0.0129284224","0.1728600899","0.6020091584","0.1715632171","0.0406391122","0.0129284224","yes"
